Code,Meaning,Description
1100,Reserved,
1101,Greeting,
1200,Generic Infrastructure Problem,
1201,Water Outage,
1202,Natural Gas Outage,
1203,Electricity Outage,
1204,Internet Outage,
1300,Generic Traffic and Transportation Problems,
1301,Roadwork,
1302,Traffic Accident,
1303,Lights are broken,
1304,Traffic Lights are broken,
1400,Natural Disaster,
1401,Flood,
1402,Storm,
1403,Earthquake,
